0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:08:00 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11761
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:08:46 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11761
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:08:48 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10890
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:08:58 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10824
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:09:06 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11761
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:09:11 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10824
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:09:48 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10818
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:10:00 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11761
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:10:30 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11733
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:10:42 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:18 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10800
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:25 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:44 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:50 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:52 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:55 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:57 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:12:58 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:01 -0600] "GET /fesdweb/Help.jsp HTTP/1.1" 200 8745
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:02 -0600] "GET /fesdweb/DataViewer.jsp HTTP/1.1" 200 15496
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:02 -0600] "GET /fesdweb/DataViewerServlet HTTP/1.1" 500 1437
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:03 -0600] "GET /fesdweb/GeneratedCompounds.jsp HTTP/1.1" 200 25195
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:04 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:38 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:52 -0600] "GET /fesdweb/Element.jsp?atomicNo=92 HTTP/1.1" 200 18879
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:53 -0600] "GET /fesdweb/ElementServlet?AtomicNo=92 HTTP/1.1" 200 69
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:13:56 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:14:00 -0600] "GET /fesdweb/People.jsp HTTP/1.1" 200 13377
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:14:04 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:14:17 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:14:24 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:14:37 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:14:43 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10772
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:15:17 -0600] "GET /fesdweb/Paper.jsp HTTP/1.1" 200 10791
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:15:20 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11714
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:15:40 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11733
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:21:42 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11747
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:21:45 -0600] "GET /fesdweb/About.jsp HTTP/1.1" 200 11747
0:0:0:0:0:0:0:1 - - [13/Apr/2017:03:22:22 -0600] "GET /fesdweb/index.jsp HTTP/1.1" 200 39699
